SKU,Type,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Categories,Images,Weight (kg),Virtual,Downloadable
ps5-ai-ultimate,simple,"PS5 AI AIM Package — Ultimate Edition",1,1,visible,"7 ألعاب كاملة، إعداد احترافي، ودعم متواصل. أعلى تجربة AI Aim للـ PS5.","<p>هل تريد السيطرة في ألعاب الشوتر على PS5 وتحقيق Aim احترافي بمساعدة الذكاء الاصطناعي؟ مع باكج PS5 AI AIM ستحصل على نظام تصويب ذكي يعتمد على AI لتحليل الصورة المباشر وتحسين الأداء داخل اللعبة بشكل احترافي، مع إعدادات مخصصة لكل لعبة لتحقيق أفضل ثبات وسرعة استجابة أثناء اللعب.</p><h3>الألعاب المتوفرة داخل البكج</h3><ul><li>PS5 AI Apex Legends</li><li>PS5 AI Call of Duty</li><li>PS5 AI Valorant</li><li>PS5 AI ARC Raiders</li><li>PS5 AI Overwatch</li><li>PS5 AI Fortnite</li><li>PS5 AI Marvel Rivals</li></ul><h3>مميزات البكج</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع أكثر ثباتاً للأعداء</li><li>تقليل الاهتزاز أثناء التصويب</li><li>سرعة استجابة أعلى أثناء الاشتباكات</li><li>إعدادات مخصصة لكل لعبة</li><li>تحسين الأداء التنافسي بشكل احترافي</li><li>دعم مستمر وتحديثات للإعدادات</li></ul><h3>البكج يشمل</h3><ul><li>اشتراك AI AIM كامل</li><li>تثبيت جميع البرامج المطلوبة</li><li>إعداد الألعاب بالكامل</li><li>ضبط الحساسية والإعدادات الاحترافية</li><li>ربط الأجهزة وضبط الأداء</li><li>دعم فني ومتابعة بعد التركيب</li></ul><h3>متطلبات التشغيل</h3><p><strong>PC:</strong> Windows 10/11، Intel الجيل الثامن أو أعلى، Nvidia RTX 2080 أو أعلى.<br><strong>Capture Card:</strong> Elgato 4K X / 4K Pro / HD60 X / HD60 Pro، أو Avermedia Live Gamer HD 2 / Ultra.</p><h3>السعر</h3><p>سعر اللعبة الواحدة 1,500 ريال · إجمالي البكج الكامل 10,500 ريال</p><h3>الأمان</h3><ul><li>النظام يعمل عبر الـ PC فقط باستخدام تحليل الصورة بالذكاء الاصطناعي</li><li>لا يتم تثبيت أي ملفات على الكونسول</li><li>لا يتم تعديل ملفات اللعبة</li><li>لا يوجد أي تدخل مباشر في نظام اللعبة</li></ul>",taxable,1,,10500,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-ultimate.png",,1,0
ps5-ai-apex,simple,"PS5 AI — Apex Legends",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ APEX LEGENDS على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ APEX LEGENDS على PS5.</p><h3>مميزات AI في APEX LEGENDS</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات APEX LEGENDS بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1426,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-apex.png",,1,0
ps5-ai-cod,simple,"PS5 AI — Call of Duty",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ CALL OF DUTY على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ CALL of DUTY على PS5.</p><h3>مميزات AI في CALL of DUTY</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات CALL of DUTY بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1426,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-cod.png",,1,0
ps5-ai-valorant,simple,"PS5 AI — Valorant",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ VALORANT على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ VALORANT على PS5.</p><h3>مميزات AI في VALORANT</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات VALORANT بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1426,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-valorant.png",,1,0
ps5-ai-overwatch,simple,"PS5 AI — Overwatch",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ OVERWATCH على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ OVERWATCH على PS5.</p><h3>مميزات AI في OVERWATCH</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات OVERWATCH بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1426,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-overwatch.png",,1,0
ps5-ai-fortnite,simple,"PS5 AI — Fortnite",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ FORTNITE على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ FORTNITE على PS5.</p><h3>مميزات AI في FORTNITE</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات FORTNITE بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1500,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-fortnite.png",,1,0
ps5-ai-arc,simple,"PS5 AI — ARC Raiders",1,0,visible,"نظام تصويب ذكي بالذكاء الاصطناعي مخصص لـ ARC RAIDERS على PS5.","<p>نظام تصويب ذكي يعتمد على الذكاء الاصطناعي لتحليل الصورة وتحسين الـ Aim بشكل احترافي أثناء اللعب — مصمم خصيصاً لـ ARC RAIDERS على PS5.</p><h3>مميزات AI في ARC RAIDERS</h3><ul><li>تحسين دقة التصويب بشكل ملحوظ</li><li>تتبّع الأعداء بثبات أعلى</li><li>رد فعل أسرع أثناء الاشتباكات</li><li>تقليل الاهتزاز أثناء التصويب</li><li>إعدادات مخصصة تناسب أسلوب لعبك</li></ul><h3>الخدمة تشمل</h3><ul><li>الاشتراك في برنامج AI AIM</li><li>تثبيت جميع البرامج المطلوبة</li><li>ضبط إعدادات ARC RAIDERS بالكامل</li><li>إعداد احترافي من البداية للنهاية</li><li>دعم فني ومتابعة بعد الإعداد</li></ul>",taxable,1,,1426,"PS5 AI","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/ps5-ai-arc.png",,1,0
setting-ai,simple,"Setting AI — ضبط كامل للعبة",1,0,visible,"إعداد كامل من البداية للنهاية وضبط الإعدادات الاحترافية للحساسية والـ Aim.","<p>خدمة Setting AI لضبط إعدادات اللعبة بالكامل — حساسية، أزرار، Aim Assist، Field of View، وكل التفاصيل التي تصنع الفرق داخل المباراة.</p><h3>ماذا تشمل الخدمة</h3><ul><li>ضبط إعدادات اللعبة بالكامل</li><li>إعداد كامل من البداية للنهاية</li><li>ضبط حساسية احترافية</li><li>اختبار الأداء وتعديله</li></ul><h3>الجلسة</h3><p><strong>الإعداد الكامل (1–2 ساعة):</strong> ضبط الإعدادات الأساسية، ضبط الحساسية والـ Aim، اختبار الأداء.</p>",taxable,1,,563,"Setting AI",,,1,0
setting-ai-support,simple,"دعم فني — جلسة متابعة",1,0,visible,"جلسة دعم فني مخصصة لمراجعة الأداء وتعديل الإعدادات حسب أسلوب لعبك.","<p>جلسة دعم فني واحدة مع فريقنا — لمراجعة الأداء، حل أي مشاكل تواجهك، أو تعديل الإعدادات بعد تجربتك في اللعب.</p><h3>تشمل الجلسة</h3><ul><li>مراجعة الأداء بعد التجربة</li><li>تعديل الإعدادات حسب أسلوب اللعب</li><li>تحسين سرعة ودقة التصويب</li><li>حل أي مشكلة تقنية</li></ul>",taxable,1,,534,"Setting AI",,,1,0
script-warzone,simple,"سكربت Warzone الاحترافي",1,0,visible,"Aim Assist متطور، ثبات عالٍ، إعدادات احترافية متوافقة مع جميع المنصات.","<p>سكربت احترافي مصمم خصيصاً ليمنحك أفضل أداء وثبات في التصويب داخل لعبة Warzone. متوافق مع جميع المنصات: PC، PS5، PS4، Xbox — ويعمل بسلاسة لأفضل تجربة لعب ممكنة.</p><h3>مميزات السكربت</h3><ul><li>AIM ASSIST متطور</li><li>تتبع ذكي ودقيق للأعداء</li><li>يعمل أثناء الزوم وبدون زوم</li><li>حركة Aim ناعمة وثابتة لزيادة دقة التصويب</li><li>ثبات عالٍ في المواجهات</li><li>تحسين التحكم بالتصويب</li><li>تقليل اهتزاز السلاح</li><li>أفضلية واضحة في القتال القريب والبعيد</li></ul><h3>إعدادات احترافية</h3><ul><li>إعدادات جاهزة للاستخدام</li><li>متوافق مع أجهزة السكربت مثل XIM MATRIX</li><li>مناسب للاعبين التنافسيين</li></ul>",taxable,1,,200,"Script Xim Matrix","https://raw.githubusercontent.com/mo-genai/LOADRYX.v6/main/warzone_script.png",,1,0
